epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,10986.2,0.25633,0.20901,0.80993,0.99998,1,0.995,0.99473,inf,0.11239,0.72614,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,11161.9,0.25502,0.20834,0.80936,0.99999,1,0.995,0.99458,0.12149,0.10998,0.72658,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,11338.2,0.25651,0.21096,0.81223,0.99999,1,0.995,0.99457,0.13181,0.11346,0.72581,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,11513.5,0.25215,0.20634,0.8099,0.99998,1,0.995,0.99455,0.13336,0.11129,0.72604,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,11689.9,0.25488,0.20911,0.81183,0.99999,1,0.995,0.99488,inf,0.1073,0.72642,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,11854.2,0.251,0.20548,0.81004,0.99998,1,0.995,0.99494,0.11848,0.10767,0.72599,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,12011.2,0.25013,0.20334,0.81021,0.99999,1,0.995,0.99467,0.13336,0.11003,0.72635,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,12167.8,0.25238,0.20364,0.81184,0.99999,1,0.995,0.9946,0.13853,0.11015,0.72638,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,12325.1,0.24756,0.20212,0.81021,0.99999,1,0.995,0.99484,0.1262,0.10818,0.72574,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,12482.4,0.24645,0.20199,0.80908,0.99996,1,0.995,0.99483,0.11919,0.10627,0.72582,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,12638.5,0.24355,0.19897,0.81057,0.99999,1,0.995,0.99491,0.10547,0.10077,0.72539,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,12795.4,0.24341,0.19732,0.80972,0.99999,1,0.995,0.99469,0.12904,0.10552,0.72568,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,12952.7,0.24062,0.19701,0.81175,0.99999,1,0.995,0.99496,0.1078,0.09825,0.72476,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,13109.9,0.24188,0.19896,0.80811,0.99999,1,0.995,0.99484,0.12143,0.10179,0.72519,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,13267.4,0.24024,0.19723,0.8092,0.99999,1,0.995,0.99495,inf,0.09799,0.72482,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,13424.1,0.24031,0.1948,0.80919,0.99999,1,0.995,0.99495,0.10609,0.09805,0.72509,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,13580.7,0.23827,0.19343,0.80877,0.99999,1,0.995,0.99487,0.13362,0.10663,0.72554,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,13737.8,0.23887,0.19496,0.80982,0.99999,1,0.995,0.99494,0.11205,0.10126,0.72494,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,13893.9,0.23559,0.19348,0.80866,0.99999,1,0.995,0.99499,0.10354,0.09636,0.72454,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,14053.8,0.23553,0.1915,0.80866,0.99999,1,0.995,0.99498,0.11395,0.09978,0.72455,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,14226.3,0.23172,0.19085,0.80787,0.99999,1,0.995,0.995,0.09523,0.09269,0.7238,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,14397.6,0.23092,0.18759,0.80755,0.99999,1,0.995,0.99492,0.1112,0.09668,0.72484,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,14569.1,0.23084,0.1907,0.80908,0.99999,1,0.995,0.99495,0.10336,0.09572,0.72448,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,14740.4,0.22901,0.18888,0.80806,0.99999,1,0.995,0.99499,0.10423,0.09622,0.72518,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,14912.2,0.23248,0.18959,0.80802,0.99999,1,0.995,0.99493,0.11975,0.10014,0.72522,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,15083.5,0.22792,0.18767,0.80805,0.99999,1,0.995,0.99497,0.10115,0.0925,0.72438,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,15254.3,0.22193,0.18194,0.8057,0.99999,1,0.995,0.99499,inf,0.09228,0.72402,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,15425.1,0.22433,0.18343,0.8057,0.99999,1,0.995,0.99498,0.09487,0.09192,0.72358,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,15595.2,0.2246,0.18646,0.80715,0.99999,1,0.995,0.99499,0.10604,0.09413,0.7241,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,15757.8,0.22602,0.18435,0.80891,0.99999,1,0.995,0.99498,0.1061,0.09451,0.72414,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,15914.1,0.21836,0.1806,0.80804,0.99999,1,0.995,0.995,0.08672,0.08732,0.72373,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,16069.6,0.21861,0.17943,0.80576,0.99999,1,0.995,0.995,0.09287,0.0905,0.72377,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,16225.4,0.21701,0.17921,0.80538,0.99999,1,0.995,0.995,0.09427,0.09019,0.72394,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,16381.1,0.217,0.17925,0.80649,0.99999,1,0.995,0.99499,0.09215,0.09063,0.72403,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,16536.1,0.21242,0.1766,0.80613,0.99999,1,0.995,0.99499,0.09346,0.08847,0.72382,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,16691.7,0.21526,0.17984,0.80593,0.99999,1,0.995,0.995,0.09552,0.08847,0.72385,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,16847.4,0.21158,0.17655,0.80465,0.99999,1,0.995,0.995,inf,0.08693,0.72362,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,17002.8,0.21387,0.17876,0.80745,0.99999,1,0.995,0.995,inf,0.08361,0.72297,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,17158.5,0.20639,0.17257,0.80129,0.99999,1,0.995,0.995,0.08948,0.08557,0.723,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,17313.8,0.21253,0.17693,0.80486,0.99999,1,0.995,0.995,0.08584,0.08556,0.72292,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,17470,0.2066,0.17089,0.80184,0.99999,1,0.995,0.995,0.09094,0.08769,0.723,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,17625.8,0.20416,0.17083,0.80535,0.99999,1,0.995,0.995,0.09483,0.08806,0.72334,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,17781.7,0.20534,0.17203,0.80421,0.99999,1,0.995,0.995,0.09038,0.08507,0.72325,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,17937.3,0.20241,0.16993,0.80547,0.99999,1,0.995,0.995,0.09026,0.08469,0.7233,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
