epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,1547.36,0.32018,0.23052,0.82937,0.99877,0.99941,0.99496,0.99368,0.12794,0.22454,0.63242,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,1740.68,0.31585,0.23068,0.82717,0.99959,0.99887,0.99497,0.99477,0.12666,0.19745,0.63239,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,1933.58,0.31303,0.22605,0.82633,0.99907,0.99933,0.99499,0.99375,0.12415,0.19428,0.63203,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2127.08,0.31432,0.22802,0.82748,0.99959,0.99902,0.99499,0.9948,0.12347,0.207,0.63186,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2321.73,0.30754,0.22449,0.82441,0.99969,0.99884,0.995,0.9948,0.12624,0.18939,0.63192,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2517.06,0.31244,0.22377,0.82736,0.99959,0.99894,0.995,0.99476,0.12484,0.18006,0.6318,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,2711.51,0.31288,0.22726,0.82958,0.99938,0.99878,0.995,0.99376,0.12492,0.17893,0.63177,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,2905,0.31459,0.22546,0.82778,0.99969,0.99849,0.995,0.99485,0.12571,0.17735,0.63177,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,3097.24,0.31103,0.22744,0.82897,0.99959,0.99852,0.995,0.99482,0.12389,0.20684,0.63163,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,3290.16,0.31122,0.22392,0.82743,0.99928,0.99881,0.995,0.99378,0.123,0.19041,0.63165,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,3483.52,0.30603,0.22228,0.8252,0.99933,0.99876,0.995,0.99378,0.12353,0.19095,0.63163,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,3677.48,0.30606,0.22341,0.82686,0.99948,0.99867,0.99499,0.99477,0.12249,0.19648,0.63157,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,3870.32,0.30519,0.22509,0.82633,0.99918,0.99891,0.995,0.99479,0.12328,0.18399,0.63188,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,4063.89,0.30511,0.22169,0.82642,0.99937,0.99897,0.99499,0.99485,0.12335,0.18846,0.63184,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,4257.1,0.30689,0.22072,0.82706,0.99928,0.99881,0.99498,0.99481,0.1202,0.18648,0.6316,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,4451.13,0.30635,0.22103,0.82624,0.99933,0.99887,0.99498,0.99478,0.12023,0.18284,0.63145,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,4644.57,0.30447,0.22257,0.82495,0.99868,0.99949,0.99499,0.99479,0.11904,0.18124,0.63134,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,4839.22,0.30608,0.22196,0.82684,0.9988,0.99949,0.995,0.99482,0.11816,0.17284,0.63127,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5034.42,0.30517,0.2194,0.8257,0.99948,0.9986,0.99499,0.99478,0.11647,0.18442,0.63109,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5229.62,0.30203,0.21984,0.82358,0.99969,0.99874,0.99499,0.99486,0.11511,0.19014,0.63108,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,5424.55,0.30512,0.22267,0.82509,0.9994,0.99887,0.99499,0.99483,0.11521,0.18818,0.63108,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,5620.38,0.30379,0.21908,0.82604,0.9992,0.99897,0.99499,0.99481,0.1139,0.19854,0.63094,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,5815.57,0.29958,0.21813,0.82411,0.99897,0.99936,0.995,0.99482,0.11138,0.18411,0.63088,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6011.3,0.30106,0.22028,0.82514,0.99959,0.99872,0.995,0.99484,0.11255,0.18173,0.63093,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6206.17,0.3004,0.21912,0.82467,0.99969,0.99873,0.995,0.99481,0.11318,0.17147,0.63088,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6401.37,0.30265,0.21904,0.82775,0.99919,0.99928,0.995,0.9948,0.11281,0.16064,0.6309,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6596.63,0.29809,0.21509,0.82484,0.99956,0.99897,0.995,0.99477,0.11161,0.14967,0.63087,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6791.59,0.29567,0.21726,0.82157,0.99959,0.99906,0.995,0.99478,0.11266,0.16449,0.63085,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6986.62,0.29471,0.21711,0.82329,0.99916,0.99949,0.995,0.99481,inf,0.17106,0.63085,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,7181.7,0.29698,0.21784,0.82217,0.99902,0.99959,0.995,0.9948,0.11383,0.1664,0.63083,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,7377.11,0.29403,0.21479,0.82442,0.99907,0.99965,0.995,0.99484,0.11282,0.1688,0.63076,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7572.29,0.29854,0.21603,0.82275,0.99963,0.99897,0.995,0.99484,0.11236,0.16775,0.6308,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7766.6,0.29454,0.21459,0.82206,0.99938,0.9993,0.995,0.99482,0.1135,0.15326,0.6308,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7961.52,0.29977,0.2201,0.82665,0.99947,0.99928,0.995,0.99484,0.11325,0.16038,0.63081,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,8155.92,0.29397,0.21551,0.82417,0.99949,0.9993,0.995,0.99484,0.11248,0.16685,0.63075,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,8350.88,0.29527,0.21486,0.82251,0.99948,0.99938,0.995,0.99484,0.11242,0.17608,0.63068,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,8546.33,0.29453,0.21437,0.82588,0.99949,0.99927,0.995,0.99486,0.11292,0.17669,0.63072,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,8742,0.29395,0.21169,0.82596,0.99969,0.99903,0.995,0.99486,0.11305,0.17385,0.63072,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,8937.76,0.29244,0.21245,0.8224,0.99969,0.99901,0.995,0.99486,0.11315,0.17225,0.63067,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9132.78,0.29073,0.20952,0.82235,0.99968,0.99897,0.995,0.99488,0.11271,0.16107,0.63062,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9327.98,0.28835,0.21045,0.81913,0.99969,0.99897,0.995,0.99486,0.11259,0.15471,0.63059,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
